@relation input2000

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {walking,standing,jogging,sitting}

@data
-1.4438,-6.2245,4.2223,walking
-1.3076,-4.0861,3.4732,walking
-1.4165,-1.9341,4.2223,walking
0.1362,-2.3836,4.413,walking
0.28603,-2.5742,3.7047,walking
-0.027241,-2.5879,2.6015,walking
0.98067,-1.1169,1.6344,walking
2.0431,-1.4846,-0.24517,walking
2.942,-2.6015,-1.5119,walking
10.351,-14.179,-11.7,walking
13.334,-18.932,-16.508,walking
6.3743,-19.559,-12.013,walking
5.6388,-11.291,-8.1858,walking
5.1894,-4.9442,-6.6331,walking
3.3778,-11.918,-5.3528,walking
2.7241,-17.489,-4.3858,walking
4.2495,-14.424,9.1256,walking
5.8159,-1.8932,11.019,walking
2.8603,-2.5334,-0.32689,walking
2.7377,-9.8475,-1.1169,walking
2.0703,-11.427,6.7421,walking
0.1362,-12.721,7.4367,walking
-2.6423,-14.86,8.2676,walking
-4.6445,-17.434,0.36775,walking
-3.8409,-14.669,-1.757,walking
-2.1793,-10.46,-1.1986,walking
-1.1577,-8.0769,-1.076,walking
1.2531,-7.1643,-1.1577,walking
1.4574,-6.5786,-0.92618,walking
2.4108,-7.355,-0.57205,walking
0.081722,-8.2948,0.14982,walking
0.19068,-7.7636,0.16344,walking
0.28603,-7.6002,0.12258,walking
1.9613,-9.0575,0.8717,walking
1.9341,-10.215,1.1577,walking
1.4165,-10.542,0.81722,walking
-1.5391,-13.757,-0.7355,walking
-2.9829,-14.519,-2.438,walking
-4.5356,-13.471,-4.1133,walking
-4.3585,-12.027,-2.2474,walking
-2.9556,-14.261,-1.2531,walking
-2.8603,-15.159,-0.095342,walking
0.65378,-14.982,-0.70826,walking
-0.28603,-13.348,-2.833,walking
2.7377,-10.76,-0.7355,walking
2.5879,-10.093,1.8932,walking
0.54481,-12,3.4051,walking
2.152,-18.701,2.1656,walking
3.2825,-18.347,2.1112,walking
3.7456,-17.38,2.3699,walking
4.3177,-12.694,1.7298,walking
3.8409,-10.569,0.62654,walking
0.8036,-9.7658,3.9635,walking
-1.0079,-9.4253,3.8409,walking
-1.5119,-7.6546,2.7513,walking
-2.4244,-4.0589,2.2882,walking
-0.85808,-3.2144,3.6503,walking
0.068102,-3.5277,4.7671,walking
0.40861,-3.4868,3.9363,walking
0.19068,-3.2553,2.7649,walking
0.92618,-1.4846,1.3484,walking
1.5936,-2.1112,-0.054481,walking
2.3836,-2.9556,-1.1032,walking
5.6661,-8.1177,-7.4776,walking
14.192,-19.232,-18.279,walking
7.8862,-19.559,-13.838,walking
6.4833,-12.898,-8.145,walking
4.0589,-4.9306,-3.9771,walking
2.4517,-8.826,-4.304,walking
1.7298,-14.846,-5.9657,walking
3.7047,-9.5751,8.7034,walking
6.7285,3.623,11.632,walking
6.0611,1.8387,7.9134,walking
3.0646,-11.359,-2.0158,walking
2.6832,-11.414,5.6116,walking
-0.42223,-11.291,7.8317,walking
-3.9635,-13.797,7.0553,walking
-5.2166,-16.358,3.3778,walking
-4.808,-16.903,-2.438,walking
-2.0431,-9.6704,-0.58567,walking
-1.7298,-8.1586,0.027241,walking
-0.24517,-8.6217,0.081722,walking
1.8387,-7.4912,-1.4029,walking
2.1248,-7.8998,-0.96704,walking
0.39499,-7.7772,-0.027241,walking
0.40861,-7.4503,0.21793,walking
1.1169,-7.2188,0.28603,walking
2.3427,-8.6081,0.83084,walking
1.9205,-10.733,0.8717,walking
0.55843,-12.095,0.32689,walking
-0.31327,-13.253,-0.01362,walking
-5.0259,-12.517,-2.4653,walking
-5.7069,-11.169,-2.7649,walking
-4.7399,-13.688,-0.68102,walking
-1.3893,-14.478,-0.081722,walking
-0.49033,-15.527,-0.01362,walking
-0.61292,-14.942,-1.9341,walking
0.77636,-12.217,-2.1929,walking
1.7706,-11.496,1.6753,walking
0.72188,-11.427,4.0997,walking
2.2474,-16.535,2.7241,walking
2.833,-17.706,2.1248,walking
3.8954,-17.843,2.1656,walking
4.2223,-13.879,1.6481,walking
3.8273,-11.128,0.99429,walking
4.3177,-10.515,0.8036,walking
1.0896,-9.616,3.8682,walking
-1.5391,-9.1665,3.3097,walking
-2.0022,-8.0769,1.8524,walking
-1.6208,-2.9965,2.9148,walking
-1.0079,-2.9829,3.5958,walking
-0.35413,-3.3097,3.8682,walking
0.55843,-3.3097,2.9011,walking
0.01362,-3.1872,2.0839,walking
0.24517,-2.3699,1.6753,walking
1.6208,-2.4789,-1.0215,walking
3.5277,-4.4947,-3.7865,walking
13.484,-17.897,-17.053,walking
13.362,-19.382,-16.603,walking
7.2052,-18.319,-10.924,walking
6.9464,-13.348,-6.7148,walking
4.127,-6.279,-3.6911,walking
2.2746,-10.869,-5.4618,walking
2.6423,-17.461,-6.96,walking
5.4345,-15.282,5.7886,walking
3.9908,0.054481,6.1019,walking
2.656,-3.4732,0.95342,walking
2.2065,-11.25,0.77636,walking
0.55843,-11.509,7.6002,walking
-3.1463,-13.484,8.3629,walking
-4.5083,-14.547,7.9815,walking
-3.5277,-15.309,-1.1305,walking
-2.5879,-14.315,-0.74912,walking
-1.3757,-10.379,-0.01362,walking
1.3484,-7.3277,-0.57205,walking
1.3484,-7.3277,-0.57205,walking
2.2201,-7.2324,-0.7355,walking
1.4574,-7.7636,-0.64016,walking
0.027241,-8.6489,-0.23155,walking
-0.20431,-8.0224,0.095342,walking
0.38137,-8.6353,0.23155,walking
1.3757,-9.7249,0.98067,walking
1.3757,-9.9565,1.3484,walking
0.85808,-10.746,1.5663,walking
-0.83084,-12.967,-0.081722,walking
-2.9556,-14.083,-2.2882,walking
-4.1678,-11.278,-3.3506,walking
-4.304,-11.836,-1.6481,walking
-4.1406,-13.757,-1.7706,walking
-2.1248,-15.214,-0.84446,walking
2.4517,-14.833,-1.5255,walking
-0.14982,-12.858,-2.5334,walking
0.55843,-11.101,-1.5663,walking
0.6674,-9.4117,2.2746,walking
-0.29965,-10.951,3.1327,walking
0.16344,-15.99,2.9284,walking
2.1384,-18.279,2.4789,walking
3.514,-15.609,1.9068,walking
3.8137,-13.702,2.0294,walking
3.9227,-11.155,1.1577,walking
2.656,-10.61,2.1656,walking
-0.17706,-10.828,3.2144,walking
-2.2201,-9.1529,2.5879,walking
-2.1248,-6.3743,1.3757,walking
-1.4982,-3.5822,2.8058,walking
0.10896,-3.623,4.5901,walking
0.25879,-3.623,4.6718,walking
0.19068,-3.337,3.0782,walking
0.35413,-1.6889,1.9205,walking
1.2803,-1.6753,0.40861,walking
2.0294,-2.1112,-0.8036,walking
6.7285,-8.322,-8.6353,walking
13.157,-18.129,-14.764,walking
9.3027,-19.504,-14.683,walking
6.7693,-15.5,-8.9894,walking
3.8273,-6.2245,-5.7614,walking
5.094,-8.6217,-5.1894,walking
2.0431,-11.822,-4.6173,walking
0.19068,-14.751,-2.3699,walking
8.1858,-6.4016,9.4798,walking
6.279,-2.6832,6.5378,walking
2.8194,-6.1292,-0.99429,walking
2.2882,-11.237,4.2495,walking
-1.4165,-11.741,8.1858,walking
-2.9011,-12.367,7.4231,walking
-5.0804,-15.323,1.2531,walking
-3.0101,-13.743,-0.081722,walking
-1.9886,-14.097,-0.50395,walking
-0.95342,-11.128,0.46309,walking
1.185,-7.4776,-0.40861,walking
1.3076,-7.5184,-0.16344,walking
1.757,-7.2596,-0.65378,walking
0.70826,-8.0632,-1.3212,walking
-0.76274,-8.0905,-0.28603,walking
-0.77636,-7.8862,0.095342,walking
-0.62654,-7.8726,0.054481,walking
0.68102,-9.8339,0.64016,walking
1.1305,-10.106,1.2531,walking
1.0896,-10.733,0.62654,walking
-0.027241,-11.822,-0.35413,walking
-3.1735,-13.661,-3.2553,walking
-4.3449,-11.741,-3.0646,walking
-4.5764,-11.836,-1.6753,walking
-2.9556,-14.628,-0.6674,walking
0.8036,-14.737,-0.44947,walking
1.7025,-14.601,-0.61292,walking
-0.65378,-13.266,-2.5198,walking
-0.10896,-10.992,-2.4108,walking
0.64016,-10.052,1.8115,walking
-0.7355,-12.721,3.8137,walking
0.44947,-16.739,2.5198,walking
1.471,-18.02,2.0294,walking
3.0918,-16.576,2.2201,walking
3.1735,-13.77,1.471,walking
2.9011,-12.422,0.12258,walking
3.6775,-11.128,1.6617,walking
-1.1577,-10.515,4.127,walking
-2.4517,-9.112,2.8875,walking
-2.3155,-4.2223,1.975,walking
-1.3076,-2.4244,2.6968,walking
-0.21793,-3.1872,4.0316,walking
0.34051,-3.3778,3.3506,walking
0.35413,-3.6366,2.8603,walking
0.92618,-3.5549,2.0294,walking
2.0567,-2.2882,0.70826,walking
2.6423,-3.0101,-0.35413,walking
5.7069,-8.3629,-6.5786,walking
11.06,-18.415,-14.261,walking
10.093,-19.3,-16.018,walking
6.17,-18.401,-10.379,walking
4.6718,-10.828,-5.6661,walking
4.7263,-9.221,-4.808,walking
2.7649,-10.202,-5.1485,walking
2.0975,-16.835,-5.6388,walking
5.7478,-2.438,11.7,walking
5.884,1.2122,9.616,walking
4.1542,-3.8137,3.4868,walking
3.2144,-9.7249,-5.1757,walking
2.5061,-11.659,5.7342,walking
-1.5255,-11.645,7.8862,walking
-5.203,-13.511,4.3858,walking
-5.3256,-15.159,-0.027241,walking
-3.2689,-14.192,0.17706,walking
-2.8603,-12.544,0.74912,walking
-1.0624,-9.2891,0.78998,walking
2.0567,-7.1507,-1.185,walking
1.3484,-7.0962,-0.95342,walking
0.81722,-7.6819,-1.2531,walking
0.027241,-7.8589,-1.0896,walking
-0.84446,-8.0905,-0.27241,walking
-0.31327,-8.1858,-0.095342,walking
0.31327,-8.5536,0.068102,walking
1.1713,-9.8475,1.1441,walking
0.78998,-10.011,1.471,walking
0.19068,-11.55,0.57205,walking
-3.2553,-14.179,-1.2395,walking
-3.909,-13.116,-2.3155,walking
-4.6173,-11.06,-2.5334,walking
-3.623,-14.574,-0.85808,walking
-0.99429,-15.364,-0.32689,walking
2.5742,-15.037,-2.0839,walking
-0.95342,-12.681,-3.5549,walking
-0.12258,-11.073,-2.8194,walking
0.40861,-9.3163,0.57205,walking
-0.9398,-13.062,3.4187,walking
-0.14982,-14.982,3.3642,walking
1.866,-18.319,2.7241,walking
3.4732,-15.377,2.1929,walking
3.514,-13.198,1.4574,walking
3.5413,-11.4,0.21793,walking
4.0044,-9.9973,1.8387,walking
-1.0896,-10.079,3.3097,walking
-1.5255,-8.9622,1.1986,walking
-1.8932,-5.203,1.7706,walking
-2.0567,-4.3585,2.6015,walking
-0.64016,-3.8001,4.3858,walking
0.027241,-3.3506,3.6094,walking
-0.027241,-3.5413,2.6015,walking
0.32689,-3.2825,1.6753,walking
1.6208,-1.7298,-0.24517,walking
3.4732,-3.3097,-3.4051,walking
10.283,-12.735,-11.319,walking
12.667,-19.028,-13.743,walking
9.793,-19.463,-14.056,walking
7.5865,-16.099,-8.5263,walking
5.0395,-6.851,-4.9442,walking
5.6116,-10.42,-5.9793,walking
0.61292,-15.568,-5.5026,walking
1.076,-18.496,-2.2474,walking
5.1213,-0.027241,9.1256,walking
2.0839,-2.4244,0.57205,walking
1.8387,-9.1937,0.24517,walking
0.72188,-11.795,8.2131,walking
-1.7843,-11.986,8.0088,walking
-3.2961,-11.904,6.5241,walking
-5.1485,-15.541,1.3757,walking
-4.0861,-15.704,0.054481,walking
-1.7706,-9.3027,-0.88532,walking
-0.16344,-7.8317,-1.0079,walking
-0.16344,-7.8317,-1.0079,walking
1.9205,-7.0553,-0.7355,walking
1.1169,-7.5865,-1.6344,walking
-0.43585,-8.1177,-0.7355,walking
-0.40861,-8.6081,-0.12258,walking
-0.40861,-8.8668,-0.027241,walking
0.99429,-9.3436,0.83084,walking
1.5119,-9.7794,1.4438,walking
1.5527,-10.624,1.2939,walking
-0.35413,-12.667,-0.50395,walking
-2.0294,-13.28,-1.9886,walking
-3.7865,-12.898,-4.3721,walking
-4.9714,-10.569,-2.7922,walking
-3.5685,-14.07,-2.152,walking
-0.31327,-14.547,-0.95342,walking
0.95342,-14.015,-0.61292,walking
0.49033,-12.476,-1.6344,walking
0.69464,-11.686,-0.70826,walking
-0.61292,-11.523,3.5685,walking
1.0624,-15.418,2.9829,walking
2.4925,-18.156,2.3018,walking
3.3097,-18.973,2.5061,walking
3.2144,-15.037,1.9477,walking
3.1054,-13.416,1.4846,walking
2.8739,-11.005,0.83084,walking
1.757,-10.052,2.7104,walking
-3.0918,-9.3163,3.8546,walking
-3.7047,-9.4798,3.2689,walking
-2.2065,-3.6775,2.4517,walking
-1.7298,-2.5334,3.6503,walking
-1.58,-3.2553,4.3585,walking
-0.027241,-3.3234,3.1872,walking
-0.027241,-3.3097,2.547,walking
0.7355,-2.2882,1.8796,walking
2.3563,-1.8932,-0.29965,walking
4.3858,-4.3994,-2.9556,walking
6.3198,-7.8317,-7.0009,walking
13.089,-19.096,-15.582,walking
7.9407,-19.545,-13.13,walking
5.6116,-10.052,-7.6002,walking
3.2553,-4.0316,-5.3392,walking
3.6366,-7.3005,-5.5162,walking
2.0294,-12.34,-5.3528,walking
2.1656,-12.558,6.0338,walking
7.7636,-6.0202,9.4934,walking
3.732,-6.5105,-1.3484,walking
2.656,-9.9429,-0.50395,walking
2.4925,-10.978,5.7614,walking
-1.5119,-11.605,7.1234,walking
-3.6639,-13.089,7.1098,walking
-5.7614,-15.759,3.3778,walking
-4.0861,-14.669,-0.65378,walking
-2.6696,-12.299,-0.14982,walking
-1.2531,-9.221,-0.14982,walking
1.7298,-7.5048,-0.54481,walking
1.7162,-7.5457,0.12258,walking
2.0975,-7.2733,-0.40861,walking
0.8036,-8.0632,-0.095342,walking
-0.34051,-7.8589,0.25879,walking
-0.44947,-7.6546,0.50395,walking
0.44947,-8.8941,0.25879,walking
1.2258,-10.147,0.69464,walking
1.3348,-10.311,0.99429,walking
-0.28603,-11.673,0.25879,walking
-1.471,-13.157,-0.39499,walking
-3.4459,-14.029,-2.6968,walking
-5.0259,-10.447,-2.7241,walking
-4.6582,-12.027,-1.7025,walking
-3.0646,-13.729,-1.58,walking
0.42223,-14.737,-1.185,walking
0.61292,-14.846,-0.6674,walking
-0.58567,-11.155,-1.3757,walking
1.2803,-10.379,0.19068,walking
0.61292,-9.7113,2.9829,walking
-0.32689,-15.023,2.6423,walking
0.84446,-17.761,2.0294,walking
2.3018,-18.415,2.0294,walking
3.3778,-15.609,2.0294,walking
3.2144,-12.694,1.5119,walking
3.9227,-10.488,0.8717,walking
2.5879,-10.365,2.7241,walking
-1.185,-9.9701,1.9341,walking
-2.7649,-7.8862,1.6072,walking
-2.1929,-4.9306,2.1384,walking
-0.7355,-3.732,3.0237,walking
0.095342,-3.7047,4.4811,walking
0.31327,-3.0646,3.6094,walking
0.081722,-3.3234,2.0567,walking
0.64016,-2.2065,1.3484,walking
1.3757,-1.7434,1.3484,walking
4.8625,-5.203,-5.6524,walking
4.8625,-5.203,-5.6524,walking
8.4446,-19.45,-13.961,walking
7.2052,-19.382,-10.597,walking
6.1836,-15.255,-7.5457,walking
6.4833,-7.2188,-4.3858,walking
5.2438,-10.501,-4.2768,walking
3.3097,-15.119,-6.7148,walking
5.8704,-8.7715,11.196,walking
3.6503,2.833,7.4095,walking
1.7843,-0.78998,-0.12258,walking
1.8796,-9.8339,-2.3155,walking
1.7162,-14.369,7.5865,walking
-0.85808,-13.375,7.069,walking
-5.1349,-14.724,3.8546,walking
-4.8761,-15.473,-0.01362,walking
-3.3642,-13.988,-0.36775,walking
-2.6696,-14.056,-0.51757,walking
-0.78998,-8.1995,0.6674,walking
1.0624,-7.0281,-0.31327,walking
2.0022,-7.0553,-1.1032,walking
1.9613,-7.3958,-0.85808,walking
1.7843,-7.6683,-0.8036,walking
-0.8036,-8.2131,-0.095342,walking
-0.85808,-7.8862,0.17706,walking
-0.38137,-7.9951,0.17706,walking
1.1577,-9.9565,0.54481,walking
1.5527,-10.474,1.2531,walking
1.185,-10.842,1.4982,walking
-1.7298,-13.852,-0.70826,walking
-2.9011,-14.138,-1.3893,walking
-4.6854,-10.937,-3.6775,walking
-4.9169,-12.64,-2.3018,walking
-3.8273,-14.71,-1.4165,walking
-2.4517,-15.05,-1.2258,walking
1.58,-14.41,-1.7843,walking
-1.471,-11.891,-1.7706,walking
0.23155,-10.583,-0.40861,walking
-0.21793,-10.665,2.8194,walking
-0.51757,-12.721,2.9556,walking
0.28603,-16.685,2.6151,walking
2.152,-18.129,2.7922,walking
3.3642,-14.669,1.7162,walking
3.6911,-12.776,2.0158,walking
3.5822,-10.964,1.4165,walking
1.0215,-10.665,3.0237,walking
-2.4653,-10.665,2.438,walking
-2.2474,-7.464,1.2122,walking
-1.4438,-4.9714,1.5936,walking
-0.89894,-3.623,2.8058,walking
-0.12258,-3.337,4.1406,walking
0.47671,-3.1735,3.5277,walking
0.19068,-3.4596,2.4789,walking
0.23155,-3.1191,2.1929,walking
1.9477,-2.2882,-0.24517,walking
2.9011,-2.6151,-1.4165,walking
6.0611,-6.7693,-6.5105,walking
14.152,-19.096,-17.407,walking
8.2812,-19.545,-13.28,walking
6.96,-15.636,-8.4446,walking
5.5843,-5.9249,-4.0316,walking
4.8761,-8.6081,-4.5764,walking
5.0123,-19,-3.8273,walking
3.732,-6.7285,13.28,walking
3.3234,4.1406,6.9872,walking
2.4517,-6.2245,-5.7069,walking
2.1929,-13.253,3.1191,walking
1.866,-13.825,7.5184,walking
-2.261,-12.667,5.5843,walking
-4.9169,-14.274,4.413,walking
-5.8295,-16.739,0.38137,walking
-2.9148,-13.838,0.35413,walking
-2.547,-13.116,0.027241,walking
0.054481,-8.0769,0.36775,walking
2.0022,-7.2324,-0.62654,walking
2.152,-7.1507,-1.0351,walking
1.6208,-7.4367,-0.51757,walking
0.7355,-7.5593,-0.1362,walking
-0.42223,-8.3765,0.31327,walking
0.31327,-8.1177,0.32689,walking
1.3212,-8.8532,0.36775,walking
2.0975,-10.27,0.7355,walking
2.0567,-10.76,0.76274,walking
-0.43585,-11.21,0.054481,walking
-2.1384,-13.225,-1.3212,walking
-3.7728,-14.22,-3.4732,walking
-4.7944,-11.128,-2.9284,walking
-4.5764,-11.768,-1.9341,walking
-2.0839,-14.846,-1.0488,walking
0.23155,-15.609,-1.1169,walking
0.40861,-15.323,-0.8036,walking
0.31327,-11.087,-1.185,walking
2.0839,-9.8884,1.2667,walking
-0.14982,-9.7522,2.8603,walking
-0.44947,-14.792,2.1112,walking
0.55843,-18.197,1.866,walking
1.8387,-18.891,1.2803,walking
3.2825,-15.119,1.9341,walking
3.6775,-11.85,1.8387,walking
3.4051,-11.046,1.362,walking
-0.6674,-11.414,2.5198,walking
-2.7377,-10.052,2.4517,walking
-2.9011,-7.3822,1.6208,walking
-2.1929,-5.3392,1.4574,walking
-0.44947,-3.7047,4.3449,walking
0.14982,-3.5549,4.4947,walking
0.38137,-3.5822,3.4323,walking
0.38137,-2.9692,2.3291,walking
0.55843,-1.7979,1.7979,walking
1.4982,-2.0839,0.38137,walking
5.2302,-6.1564,-5.3528,walking
9.3844,-13.212,-10.828,walking
8.6081,-19.491,-15.282,walking
6.8783,-17.434,-9.9565,walking
6.7421,-12.054,-7.3822,walking
4.2223,-6.1155,-4.6037,walking
1.1577,-10.869,-4.6173,walking
-0.44947,-15.623,-7.6683,walking
4.0452,-16.086,6.1836,walking
6.3335,-1.1577,7.069,walking
4.2223,-2.0567,3.6503,walking
2.5879,-6.4969,-3.0646,walking
1.4029,-10.569,6.0474,walking
-2.6968,-12.19,7.8181,walking
-4.127,-13.321,7.7908,walking
-6.0611,-16.317,-0.14982,walking
-4.3858,-15.228,-1.1032,walking
-2.7922,-12.912,-0.77636,walking
-0.095342,-8.2948,0.081722,walking
0.6674,-7.927,-0.14982,walking
1.2531,-7.1779,0.23155,walking
1.5391,-7.3414,-0.7355,walking
0.76274,-7.6546,-0.38137,walking
0.12258,-7.9543,0.31327,walking
0.25879,-7.6683,0.35413,walking
1.0624,-8.6625,0.25879,walking
1.7025,-9.902,0.88532,walking
1.3484,-10.188,0.77636,walking
-0.43585,-12.967,-0.69464,walking
-3.4732,-14.574,-1.7025,walking
-4.4266,-12.64,-2.9556,walking
-4.699,-11.06,-2.9556,walking
-4.4539,-13.607,-1.4438,walking
-2.5334,-15.119,-0.10896,walking
1.076,-15.514,-0.10896,walking
-0.54481,-14.792,0.1362,walking
0.01362,-12.122,-1.866,walking
1.3484,-8.9213,1.6481,walking
-0.85808,-10.447,2.9148,walking
-1.0896,-13.212,2.7377,walking
-0.23155,-18.646,2.3563,walking
3.0646,-17.053,1.4846,walking
3.7728,-14.152,1.8796,walking
4.9033,-11.019,1.7979,walking
3.6094,-11.359,1.9613,walking
0.081722,-11.55,2.4925,walking
-2.942,-10.243,2.0022,walking
-2.547,-4.2632,1.0896,walking
-1.4438,-2.942,3.228,walking
-0.095342,-3.0918,4.7535,walking
0.068102,-2.8467,4.7944,walking
-0.53119,-2.8603,3.4732,walking
0.12258,-2.0294,1.6617,walking
1.3348,-2.3972,-0.69464,walking
3.0101,-2.9284,-2.6696,walking
5.38,-5.7342,-6.8374,walking
13.144,-17.992,-16.399,walking
9.2891,-19.504,-13.375,walking
6.3471,-16.998,-8.3084,walking
6.1155,-3.5685,-2.9965,walking
6.1019,-4.0861,-3.0646,walking
1.471,-13.77,-4.9033,walking
6.8783,-13.198,9.2346,walking
7.2596,-5.4481,7.8862,walking
3.1191,-2.8058,3.0918,walking
1.6617,-8.9622,0.89894,walking
1.4846,-11.455,5.2438,walking
-1.9341,-12.286,6.5786,walking
-4.6309,-14.669,7.6546,walking
-6.1836,-17.434,0.76274,walking
-4.7944,-16.685,-0.85808,walking
-2.1929,-11.441,-0.19068,walking
-0.83084,-8.826,0.50395,walking
1.2122,-6.7966,-0.70826,walking
2.0567,-6.8238,-0.96704,walking
2.0431,-7.1507,-0.50395,walking
1.4574,-7.1098,-0.50395,walking
-0.19068,-8.322,0.12258,walking
-0.027241,-7.6819,0.19068,walking
0.40861,-8.0632,0.19068,walking
1.6617,-10.065,0.6674,walking
1.185,-10.515,0.64016,walking
0.20431,-10.815,0.70826,walking
-2.7649,-14.097,-1.4301,walking
-3.9908,-14.274,-2.261,walking
-4.304,-12.517,-1.9886,walking
-4.2223,-12.34,-1.757,walking
-3.2689,-13.838,-1.4165,walking
-1.2803,-14.465,-0.8036,walking
-0.47671,-14.342,-2.0294,walking
-1.7706,-12.313,-1.9341,walking
0.35413,-11.21,-1.1305,walking
-0.74912,-10.065,2.6015,walking
-1.6481,-12.803,2.6015,walking
-0.72188,-15.936,2.3836,walking
2.1112,-18.129,2.4517,walking
3.3915,-15.241,2.0703,walking
4.3858,-12.967,2.833,walking
4.3177,-10.542,2.6151,walking
1.8796,-11.673,3.7456,walking
-1.3893,-11.005,1.3484,walking
-2.1793,-5.6388,0.054481,walking
-1.4982,-3.4459,1.4438,walking
-1.1441,-2.9556,2.7104,walking
-0.12258,-3.2961,4.5083,walking
0.14982,-3.3915,3.623,walking
-0.28603,-3.2553,2.6015,walking
-0.10896,-2.7377,1.8251,walking
2.6015,-3.1191,-1.6481,walking
4.9306,-5.3664,-5.4073,walking
8.9349,-11.577,-11.25,walking
